movie_id,rank,title,m_runtime,year,rating,votes
tt5884052,93,Pokémon: Detective Pikachu,1h 44m,2019,6.5,187000
tt1502397,94,Bad Boys for Life,2h 4m,2020,6.5,186000
tt7668870,95,Searching,1h 42m,2018,7.6,183000
tt5814060,96,The Nun,1h 36m,2018,5.3,177000
tt1502407,97,Halloween,1h 46m,2018,6.5,176000
tt7146812,98,Onward,1h 42m,2020,7.4,175000
tt1618434,99,Murder Mystery,1h 37m,2019,6.1,175000
tt5052474,100,Sicario: Day of the Soldado,2h 2m,2018,7.1,173000
tt8079248,101,Yesterday,1h 56m,2019,6.8,173000
tt6412452,102,The Ballad of Buster Scruggs,2h 13m,2018,7.2,172000
tt6155172,103,Roma,2h 15m,2018,7.7,172000
tt4500922,104,Maze Runner: The Death Cure,2h 23m,2018,6.3,172000
tt7040874,105,A Simple Favor,1h 57m,2018,6.8,170000
tt6628394,106,Bad Times at the El Royale,2h 21m,2018,7.1,169000
tt3794354,107,Sonic the Hedgehog,1h 39m,2020,6.5,166000
tt6266538,108,Vice,2h 12m,2018,7.2,166000
tt4566758,109,Mulan,1h 55m,2020,5.8,162000
tt6343314,110,Creed II,2h 10m,2018,7.1,159000
tt7984766,111,The King,2h 20m,2019,7.3,159000
tt7395114,112,The Devil All the Time,2h 18m,2020,7.1,157000
tt1314396,113,Borat Subsequent Moviefilm,1h 35m,2020,6.6,157000
tt2386490,114,How to Train Your Dragon: The Hidden World,1h 44m,2019,7.4,157000
tt7959026,115,The Mule,1h 56m,2018,7.0,157000
tt5363618,116,Sound of Metal,2h,2019,7.7,155000
tt2854926,117,Tag,1h 40m,2018,6.5,151000
tt2283336,118,Men in Black: International,1h 54m,2019,5.6,151000
tt9893250,119,I Care a Lot,1h 58m,2020,6.4,150000
tt3829266,120,The Predator,1h 47m,2018,5.3,150000
tt1488606,121,Triple Frontier,2h 5m,2019,6.5,150000
tt2222042,122,Love and Monsters,1h 49m,2020,6.9,150000
tt5886046,123,Escape Room,1h 39m,2019,6.4,147000
tt1571234,124,Mortal Engines,2h 8m,2018,6.1,145000
tt7737786,125,Greenland,1h 59m,2020,6.4,141000
tt9495224,126,Black Mirror: Bandersnatch,1h 30m,2018,7.1,138000
tt5758778,127,Skyscraper,1h 42m,2018,5.8,138000
tt8110330,128,Dil Bechara,1h 41m,2020,8.3,136000
tt8404614,129,The Two Popes,2h 5m,2019,7.6,135000
tt1489887,130,Booksmart,1h 42m,2019,7.1,134000
tt8244784,131,The Hunt,1h 30m,2020,6.6,133000
tt2557478,132,Pacific Rim: Uprising,1h 51m,2018,5.6,130000
tt6394270,133,Bombshell,1h 49m,2019,6.8,130000
tt5164432,134,"Love, Simon",1h 50m,2018,7.5,129000
tt3846674,135,To All the Boys I've Loved Before,1h 39m,2018,7.0,128000
tt1590193,136,The Commuter,1h 44m,2018,6.3,128000
tt1259528,137,Den of Thieves,2h 20m,2018,7.0,127000
tt1018951,138,Soorarai Pottru,2h 33m,2020,8.7,126000
tt1025100,139,Gemini Man,1h 57m,2019,5.7,125000
tt7401588,140,Instant Family,1h 58m,2018,7.3,124000
tt2139881,141,Long Shot,2h 5m,2019,6.8,124000
tt4777008,142,Maleficent: Mistress of Evil,1h 59m,2019,6.6,122000
tt8503618,143,Hamilton,2h 40m,2020,8.3,120000
tt6048922,144,Greyhound,1h 31m,2020,7.0,119000
tt2548396,145,The Cloverfield Paradox,1h 42m,2018,5.5,115000
tt8613070,146,Portrait of a Lady on Fire,2h 2m,2019,8.1,114000
tt6189022,147,Angel Has Fallen,2h 1m,2019,6.4,114000
tt6911608,148,Mamma Mia! Here We Go Again,1h 54m,2018,6.6,113000
tt1206885,149,Rambo: Last Blood,1h 29m,2019,6.1,113000
tt9071322,150,Dark Waters,2h 6m,2019,7.6,111000
tt7752126,151,Brightburn,1h 30m,2019,6.1,111000
tt8267604,152,Capernaum,2h 6m,2018,8.4,111000
tt4364194,153,The Peanut Butter Falcon,1h 37m,2019,7.6,110000
tt5503686,154,Hustlers,1h 50m,2019,6.3,109000
tt4530422,155,Overlord,1h 50m,2018,6.6,109000
tt2481498,156,"Extremely Wicked, Shockingly Evil and Vile",1h 50m,2019,6.7,107000
tt1860242,157,The Highwaymen,2h 12m,2019,6.9,107000
tt1226837,158,Beautiful Boy,2h,2018,7.4,107000
tt8108198,159,Andhadhun,2h 19m,2018,8.2,106000
tt4218572,160,Widows,2h 9m,2018,6.8,106000
tt8580274,161,Eurovision Song Contest: The Story of Fire Saga,2h 3m,2020,6.5,104000
tt2274648,162,Hellboy,2h,2019,5.3,103000
tt7939766,163,I'm Thinking of Ending Things,2h 14m,2020,6.5,103000
tt7838252,164,K.G.F: Chapter 1,2h 34m,2018,8.2,102000
tt6292852,165,I Am Mother,1h 53m,2019,6.7,101000
tt1088616,166,365 Days,1h 54m,2020,3.3,101000
tt4139588,167,Polar,1h 58m,2019,6.3,101000
tt5774060,168,Underwater,1h 35m,2020,5.9,101000
tt1063345,169,Minari,1h 55m,2020,7.4,101000
tt8633478,170,Run,1h 30m,2020,6.7,101000
tt8629748,171,Spenser Confidential,1h 51m,2020,6.2,101000
tt0837563,172,Pet Sematary,1h 40m,2019,5.7,100000
tt3513548,173,Richard Jewell,2h 11m,2019,7.5,100000
tt7456310,174,Anna,1h 58m,2019,6.6,100000
tt7550000,175,Project Power,1h 53m,2020,6.0,99000
tt4332232,176,Fractured,1h 39m,2019,6.5,99000
tt6878306,177,News of the World,1h 58m,2020,6.8,97000
tt6924650,178,Midway,2h 18m,2019,6.7,97000
tt1034415,179,Suspiria,2h 32m,2018,6.7,97000
tt7886848,180,Sadak 2,2h 13m,2020,1.2,97000
tt8364368,181,Crawl,1h 27m,2019,6.1,97000
tt5028340,182,Mary Poppins Returns,2h 10m,2018,6.7,97000
tt3799232,183,The Kissing Booth,1h 45m,2018,5.9,96000
tt4003440,184,The House That Jack Built,2h 32m,2018,6.8,96000
tt1413492,185,12 Strong,2h 10m,2018,6.5,94000
tt2709692,186,The Grinch,1h 25m,2018,6.4,94000
tt4682266,187,The New Mutants,1h 34m,2020,5.3,94000
tt6998518,188,Mandy,2h 1m,2018,6.5,93000
tt8623904,189,Last Christmas,1h 43m,2019,6.5,92000
tt1146482,190,The Social Dilemma,1h 34m,2020,7.6,91000
tt8350360,191,Annabelle Comes Home,1h 46m,2019,5.9,91000
tt1053960,192,The Midnight Sky,1h 58m,2020,5.7,91000
tt3224458,193,A Beautiful Day in the Neighborhood,1h 49m,2019,7.2,90000
tt5688932,194,Sorry to Bother You,1h 52m,2018,6.9,90000
tt6513120,195,Fighting with My Family,1h 48m,2019,7.0,89000
tt5220122,196,Hotel Transylvania 3: Summer Vacation,1h 37m,2018,6.3,89000
tt8075192,197,Shoplifters,2h 1m,2018,7.9,89000
tt8155288,198,Happy Death Day 2U,1h 40m,2019,6.2,89000
tt8695030,199,The Dead Don't Die,1h 44m,2019,5.5,89000
tt4560436,200,Mile 22,1h 34m,2018,6.1,89000
tt2531344,201,Blockers,1h 42m,2018,6.2,88000
tt3387520,202,Scary Stories to Tell in the Dark,1h 48m,2019,6.2,88000
tt6472976,203,Five Feet Apart,1h 56m,2019,7.2,87000
tt1634106,204,Bloodshot,1h 49m,2020,5.7,87000
tt4575576,205,Christopher Robin,1h 44m,2018,7.2,86000
tt6921996,206,Johnny English Strikes Again,1h 29m,2018,6.2,85000
tt2990140,207,The Christmas Chronicles,1h 44m,2018,7.0,85000
tt3861390,208,Dumbo,1h 52m,2019,6.3,84000
tt6663582,209,The Spy Who Dumped Me,1h 57m,2018,6.0,84000
tt6977338,210,Good Boys,1h 30m,2019,6.7,84000
tt1061828,211,Mank,2h 11m,2020,6.8,84000
tt7014006,212,Eighth Grade,1h 33m,2018,7.4,84000
tt6679794,213,Outlaw King,2h 1m,2018,6.9,83000
tt8359848,214,Climax,1h 37m,2018,6.9,83000
tt7638348,215,Boss Level,1h 40m,2020,6.8,82000
tt1055423,216,Dara of Jasenovac,2h 10m,2020,8.1,82000
tt4532826,217,Robin Hood,1h 56m,2018,5.3,82000
tt5033998,218,Charlie's Angels,1h 58m,2019,5.0,81000
tt9866072,219,Holidate,1h 44m,2020,6.2,81000
tt5613484,220,Mid90s,1h 25m,2018,7.4,81000
tt1005951,221,Unhinged,1h 30m,2020,6.0,80000
tt7775622,222,Free Solo,1h 40m,2018,8.1,80000
tt5719748,223,Cold Pursuit,1h 59m,2019,6.2,80000
tt7282468,224,Burning,2h 28m,2018,7.4,79000
tt3513498,225,The Lego Movie 2: The Second Part,1h 47m,2019,6.5,79000
tt1103237,226,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,1h 57m,2020,8.2,79000
tt9686708,227,The King of Staten Island,2h 16m,2020,7.1,78000
tt8368406,228,Vivarium,1h 37m,2019,5.9,78000
tt1137450,229,Death Wish,1h 47m,2018,6.3,78000
tt4916630,230,Just Mercy,2h 17m,2019,7.6,78000
tt4477536,231,Fifty Shades Freed,1h 45m,2018,4.5,77000
tt8368512,232,The Courier,1h 52m,2020,7.2,77000
tt8688634,233,21 Bridges,1h 39m,2019,6.6,77000
tt1846589,234,Hunter Killer,2h 1m,2018,6.6,76000
tt1091938,235,Freaky,1h 42m,2020,6.3,76000
tt2452244,236,Isn't It Romantic,1h 29m,2019,5.9,75000
tt1028027,237,Coolie No. 1,2h 14m,2020,4.2,74000
tt8291224,238,Uri: The Surgical Strike,2h 18m,2019,8.2,74000
tt5726086,239,Insidious: The Last Key,1h 43m,2018,5.7,74000
tt6133466,240,The First Purge,1h 37m,2018,5.2,74000
tt5461944,241,Hotel Mumbai,2h 3m,2018,7.6,74000
tt6673612,242,Dolittle,1h 41m,2020,5.6,73000
tt8637428,243,The Farewell,1h 40m,2019,7.5,73000
tt6850820,244,Peppermint,1h 41m,2018,6.5,72000
tt6902676,245,Guns Akimbo,1h 38m,2019,6.3,72000
tt4971344,246,The Sisters Brothers,2h 2m,2018,6.9,72000
tt5113040,247,The Secret Life of Pets 2,1h 26m,2019,6.4,71000
tt9731534,248,The Night House,1h 47m,2020,6.4,71000
tt6475714,249,Monster Hunter,1h 43m,2020,5.2,70000
tt6079516,250,I See You,1h 38m,2019,6.8,69000
tt4126476,251,After,1h 45m,2019,5.3,69000
